PALB2	BRCA1
Repair1_DNA_glycosylases	0.314706726081	0.362773145089924
Repair2_Other_BER_and_strand_break_joining_factors	0.495370880617978	0.505052392530516
Repair3_PARP_enzymes	0.530677560459649	0.421131014805883
Repair4_Direct_reversal_of_damage	-0.158466650957884	-0.180537484314915
Repair5_Repair_of_DNA_topoisomerase_crosslinks	0.496737171437655	0.488359760327848
Repair6_Mismatch_excision_repair	0.658947363907621	0.626031816105013
Repair7_xeroderma_pigmentosum	0.458746990196005	0.371810918844311
Repair8_TFIIH	0.595378252715173	0.51967582273271
Repair9_NER_related	0.365842190046987	0.229656838681236
Repair10_Homologous_recombination	0.725852614815935	0.831579699452276
Repair11_Fanconi_anemia	0.741705351850123	0.839728510743883
Repair12_Non_homologous_end_joining	0.717277560673111	0.695971709174292
Repair13_Modulation_of_nucleotide_pools	0.405729940869614	0.473122654524625
Repair14_DNA_polymerases	0.691427872801894	0.730131302582922
Repair15_Editing_and_processing_nucleases	0.589346668653992	0.654288444573542
Repair16_Ubiquitination_and_modification	0.718517530527438	0.63246532442219
Repair17_Chromatin_Structure	0.392915705844396	0.560399593329702
Repair18_Genes_defective_in_diseases_associated_with_sensitivity_to_DNA_damaging_agents	0.676393586062443	0.797389983674092
Repair19_Other_identified_genes_with_known_or_suspected_DNA_repair_function	0.721354807835276	0.70559940288143
Repair20_Other_conserved_DNA_damage_response_genes	0.706678025162721	0.721984441132826
